SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationid,CurrentSchoolType,StudentGroupType,StudentGroup,Suppression,Cohort,BegginingGrade9,TransferIn,Year1Dropout,Year2Dropout,Year3Dropout,Year4Dropout,Year5Dropout,Year6Dropout,Year7Dropout,TransferOut,FinalCohort,Graduate,Continuing,Dropout,GraduationRate,DataAsOf
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Non Section 504,Cross Group,Five Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9477,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Non Section 504,No Suppression,Seven Year,363,40,NA,NA,8,14,2,NA,NA,37,366,342,0,24,0.9344,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Non Section 504,Cross Group,Four Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9377,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Non Section 504,No Suppression,Six Year,351,23,1,NA,3,8,4,1,NA,30,344,324,3,17,0.9419,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Section 504,>90%,Five Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Section 504,No Suppression,Seven Year,15,2,NA,NA,1,2,NA,NA,NA,1,16,13,0,3,0.8125,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Section 504,>92%,Four Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,504,Section 504,No Suppression,Six Year,19,NA,NA,NA,1,2,NA,NA,NA,0,19,16,0,3,0.8421,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,All,All Students,No Suppression,Five Year,350,30,1,4,3,4,1,NA,NA,37,343,326,4,13,0.9504,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,All,All Students,No Suppression,Seven Year,378,42,NA,NA,9,16,2,NA,NA,38,382,355,0,27,0.9293,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,All,All Students,No Suppression,Four Year,399,26,1,NA,4,12,NA,NA,NA,36,389,365,7,17,0.9383,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,All,All Students,No Suppression,Six Year,370,23,1,NA,4,10,4,1,NA,30,363,340,3,20,0.9366,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,English Language Learners,No Suppression,Five Year,7,3,NA,2,1,NA,1,NA,NA,0,10,6,0,4,0.6,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,English Language Learners,N<10,Seven Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,English Language Learners,N<10,Four Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,English Language Learners,N<10,Six Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,Non-English Language Learners,No Suppression,Five Year,343,27,1,2,2,4,NA,NA,NA,37,333,320,4,9,0.961,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,Non-English Language Learners,Cross Group,Seven Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.931,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,Non-English Language Learners,Cross Group,Four Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9423,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,ELL,Non-English Language Learners,Cross Group,Six Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.941,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Foster,Foster Care,N<10,Seven Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Foster,Foster Care,N<10,Four Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Foster,Foster Care,N<10,Six Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Foster,Non-Foster Care,No Suppression,Five Year,350,30,1,4,3,4,1,NA,NA,37,343,326,4,13,0.9504,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Foster,Non-Foster Care,Cross Group,Seven Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9318,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Foster,Non-Foster Care,Cross Group,Four Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9378,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Foster,Non-Foster Care,Cross Group,Six Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9365,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Female,No Suppression,Five Year,170,17,1,2,1,2,NA,NA,NA,19,168,161,1,6,0.9583,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Female,No Suppression,Seven Year,172,26,NA,NA,1,8,NA,NA,NA,14,184,175,0,9,0.9511,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Female,No Suppression,Four Year,184,15,NA,NA,1,9,NA,NA,NA,18,181,170,1,10,0.9392,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Female,No Suppression,Six Year,190,14,1,NA,1,4,2,1,NA,15,189,180,0,9,0.9524,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Male,No Suppression,Five Year,180,13,NA,2,2,2,1,NA,NA,18,175,165,3,7,0.9429,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Male,No Suppression,Seven Year,206,16,NA,NA,8,8,2,NA,NA,24,198,180,0,18,0.9091,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Male,No Suppression,Four Year,215,11,1,NA,3,3,NA,NA,NA,18,208,195,6,7,0.9375,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Gender,Male,No Suppression,Six Year,180,9,NA,NA,3,6,2,NA,NA,15,174,160,3,11,0.9195,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Homeless,Homeless,No Suppression,Five Year,9,2,NA,NA,NA,1,NA,NA,NA,1,10,8,1,1,0.8,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Homeless,Homeless,No Suppression,Seven Year,14,NA,NA,NA,1,3,NA,NA,NA,1,13,9,0,4,0.6923,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Homeless,Homeless,No Suppression,Four Year,25,1,NA,NA,NA,3,NA,NA,NA,3,23,19,1,3,0.8261,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Homeless,Homeless,>90%,Six Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Homeless,Non-Homeless,No Suppression,Five Year,341,28,1,4,3,3,1,NA,NA,36,333,318,3,12,0.955,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Homeless,Non-Homeless,No Suppression,Seven Year,364,42,NA,NA,8,13,2,NA,NA,37,369,346,0,23,0.9377,12/14/2020 12:00:00 AM
2019,School,Snohomish,Northwest Educational Service District 189,100009,31016,Arlington School District,100014,2523,Arlington High School,102563,NA,Homeless,Non-Homeless,No Suppression,Four Year,374,25,1,NA,4,9,NA,NA,NA,33,366,346,6,14,0.9454,12/14/2020 12:00:00 AM
